                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.49428,                0.78753,                0.57662,                0.98471,                0.87905,                0.78271,                 0.8666,                 0.6956,                0.90337,                0.74681,                0.84454,                0.70612,                0.80422,                 1.3778,                0.94192,                 1.2518,               0.000307,               0.000307,               0.000307
                     72,                0.49878,                0.79279,                0.56969,                0.98819,                0.83913,                0.79694,                0.85295,                0.68071,                0.83293,                0.79463,                0.84356,                0.71137,                0.82605,                 1.3724,                0.98675,                 1.2791,              0.0002971,              0.0002971,              0.0002971
                     73,                  0.516,                0.81703,                 0.5792,                0.98464,                0.86042,                 0.7991,                0.86043,                0.70523,                0.86035,                0.79892,                0.85747,                0.72259,                0.78555,                  1.256,                 0.8983,                  1.263,              0.0002872,              0.0002872,              0.0002872
                     74,                  0.504,                0.77894,                0.58863,                0.98678,                  0.895,                0.79293,                0.86856,                0.70044,                0.88419,                0.78351,                0.85238,                0.72967,                0.80024,                 1.2279,                0.90748,                 1.2812,              0.0002773,              0.0002773,              0.0002773
                     75,                0.49408,                0.75626,                0.57324,                 0.9802,                0.88649,                0.82488,                0.86669,                0.69373,                0.88876,                  0.815,                0.85225,                0.70963,                0.82707,                 1.2598,                0.92259,                 1.3056,              0.0002674,              0.0002674,              0.0002674
                     76,                0.50569,                0.77899,                0.56446,                0.97646,                0.82059,                0.83967,                0.86392,                0.69935,                0.81906,                0.83323,                0.85045,                0.70672,                0.78706,                 1.2741,                0.91139,                 1.2643,              0.0002575,              0.0002575,              0.0002575
                     77,                0.47692,                0.71757,                 0.5355,                0.96812,                0.86531,                0.81604,                0.85769,                0.69329,                0.85072,                 0.8076,                0.83343,                0.69192,                0.78755,                 1.3355,                0.92198,                 1.2769,              0.0002476,              0.0002476,              0.0002476
                     78,                0.46808,                0.70201,                0.52234,                0.96677,                0.89355,                0.80294,                0.86194,                0.69451,                0.89311,                0.79182,                0.85138,                0.71067,                0.82997,                  1.274,                0.95106,                 1.3074,              0.0002377,              0.0002377,              0.0002377
                     79,                 0.4813,                0.75849,                0.54162,                0.97232,                0.90937,                0.79299,                0.86911,                0.69962,                0.89579,                0.79114,                0.85942,                0.71414,                0.81178,                 1.2589,                0.90707,                 1.2932,              0.0002278,              0.0002278,              0.0002278
                     80,                0.48577,                0.71439,                0.53757,                0.96406,                0.89909,                0.79678,                0.86986,                0.70399,                0.88042,                0.81004,                0.86553,                 0.7193,                0.78827,                 1.2185,                0.91979,                 1.2583,              0.0002179,              0.0002179,              0.0002179
