(선)민어,목포,2미,S/P,128.6,"7,500","6,500","6,700",2012-04-03,,,
(선)병어,삼천포,42미,S/P,3,"300,000","200,000","243,300",2012-04-03,,,
(선)병어,부산(기장),38미,S/P,6,"280,000","270,000","276,700",2012-04-03,,,
(선)삼치,통영,대,S/P,2,"100,000","100,000","100,000",2012-04-03,,,
(선)아귀,삼천포,2미,S/P,2,"65,000","65,000","65,000",2012-04-03,,,
(선)오징어,제주도,20미,S/P,13,"22,000","22,000","22,000",2012-04-03,,,
(선)은갈치,제주도,중,S/P,60,"140,000","50,000","134,000",2012-04-03,,,
(활)전복,고흥,17/18미,kg,24.7,"26,000","26,000","26,000",2012-04-03,,,
(활)전복,완도,7/8미,kg,16.5,"70,000","67,000","68,700",2012-04-03,,,
(활)전복,완도,30/35미,kg,11.3,"18,000","18,000","18,000",2012-04-03,,,
(활)쭈꾸미,중국,소,그물망,58,"55,000","55,000","55,000",2012-04-03,,,
(선)참가자미,보령,14미,S/P,7,"15,000","15,000","15,000",2012-04-03,,,
(활)참숭어,완도,중,kg,263.2,"10,000","1,000","4,500",2012-04-03,,,
(냉)황복,기타(원양),S,CT/(BT),2,"50,000","50,000","50,000",2012-04-03,,,
(냉)흰다리새우,말레이지아,50미,kg,330,"8,000","8,000","8,000",2012-04-03,,,
(활)겉바지락,중국,대,포,97,"65,000","50,000","60,000",2012-04-03,,,
(냉)고등어,중국,500/600,CT/(BT),100,"34,000","30,000","31,200",2012-04-03,,,
(활)넙치,제주도,중,kg,"2,002.3","25,000","3,000","11,700",2012-04-03,,,
(활)넙치,완도,중,kg,176.2,"29,000","3,000","15,800",2012-04-03,,,
(선)농어,삼천포,대,S/P,16,"13,000","13,000","13,000",2012-04-03,,,
(선)대구,미국,중,CT/(BT),10,"70,000","70,000","70,000",2012-04-03,,,
