(선)수꽃게,태안,중,S/P,1,"55,000","55,000","55,000",2023-05-17
(선)암꽃게,보령,중,S/P,1,"190,000","190,000","190,000",2023-05-17
(선)우럭,통영,중,kg,56,"15,000","9,000","12,700",2023-05-17
(활)전복,완도,5/6미,kg,3.8,"61,000","61,000","61,000",2023-05-17
(활)전복,완도,20미,kg,132.4,"15,500","15,000","15,400",2023-05-17
(활)전복,완도,18/19미,kg,22.1,"17,000","17,000","17,000",2023-05-17
(선)참가자미,군산,대,S/P,106.6,"65,000","4,000","31,600",2023-05-17
(선)참돔,목포,대,S/P,28.7,"5,500","3,500","4,500",2023-05-17
(활)가무락(백),강화,대,그물망,1,"150,300","150,300","150,300",2023-05-17
(활)감숭어,인천,중,kg,408.1,"10,000","1,000","7,400",2023-05-17
(선)갯가재,격포,중,kg,4,"9,000","3,000","7,500",2023-05-17
(활)농어,완도,중,kg,103.2,"9,000","4,000","6,800",2023-05-17
(선)농어,태안,중,kg,2.2,500,500,500,2023-05-17
(선)민어,목포,4미,S/P,22.4,"14,000","12,000","12,300",2023-05-17
(선)민어,제주도,대,S/P,11,"237,900","100,000","157,100",2023-05-17
(활)바위굴,여수,중,그물망,1,"15,000","15,000","15,000",2023-05-17
(선)방어,강구,5미,S/P,1,"12,000","12,000","12,000",2023-05-17
(선)백조기,남해,12미,S/P,11,"6,000","6,000","6,000",2023-05-17
(선)백조기,제주도,26미,S/P,1,"23,000","23,000","23,000",2023-05-17
(선)상어,제주도,2미,S/P,1,"25,000","25,000","25,000",2023-05-17
(선)아귀,나로도,3미,S/P,1,"28,000","28,000","28,000",2023-05-17
(활)암꽃게,진도,소,kg,110,"16,000","16,000","16,000",2023-05-17
(선)은갈치,제주도,10미,S/P,144,"140,000","33,000","82,800",2023-05-17
(선)은갈치,제주도,대,S/P,22,"250,000","18,000","172,500",2023-05-17
(활)전복,완도,17미,kg,77,"20,000","20,000","20,000",2023-05-17
(활)전복,완도,19/20미,kg,152.3,"17,500","16,500","17,000",2023-05-17
(활)전복,완도,16/17미,kg,32.8,"17,000","17,000","17,000",2023-05-17
(활)토바지락,중국,중,box,25,"1,100","1,100","1,100",2023-05-17
(선)가오리,제주도,대,S/P,1,"3,000","3,000","3,000",2023-05-17
(선)가오리,포항,대,S/P,18,"8,000","8,000","8,000",2023-05-17
(선)갑오징어,방어진,중,S/P,1,"15,000","15,000","15,000",2023-05-17
(활)넙치,통영,중,kg,2,"3,000","3,000","3,000",2023-05-17
(활)능성어,일본,중,kg,114.2,"37,000","30,000","33,200",2023-05-17
(선)대구,죽변,3미,S/P,8,"5,000","5,000","5,000",2023-05-17
(활)물바지락,여수,대,box,151,"62,000","23,300","44,500",2023-05-17
(선)백조기,나로도,24미,S/P,2,"10,000","10,000","10,000",2023-05-17
(선)분홍새우,속초,대,S/P,36,"120,000","80,000","98,400",2023-05-17
(활)새꼬막,벌교,중,그물망,10,"19,200","5,000","12,100",2023-05-17
(활)수꽃게,태안,대,kg,100,"22,000","16,000","19,000",2023-05-17
(선)수조기,나로도,4미,S/P,1,"24,000","24,000","24,000",2023-05-17
(선)싱어,제주도,대,S/P,2,"15,000","15,000","15,000",2023-05-17
(활)암꽃게,군산,대,kg,89,"40,000","38,500","39,800",2023-05-17
(냉)염고등어,노르웨이,특대,CT/(BT),50,"40,600","40,600","40,600",2023-05-17
(선)은갈치,제주도,5미,S/P,57,"155,000","125,000","139,400",2023-05-17
(활)잿방어,일본,중,kg,507.7,"23,000","20,000","21,700",2023-05-17
(활)전복,완도,11/12미,kg,136.6,"24,000","20,500","21,500",2023-05-17
(활)전복,완도,14/15미,kg,222.6,"22,000","17,000","18,600",2023-05-17
(활)참숭어,인천,중,kg,351.4,"12,000","1,000","8,000",2023-05-17
(활)갯가재,격포,중,kg,47,"6,800","6,800","6,800",2023-05-17
(활)겉바지락,순천,중,그물망,10,"40,000","40,000","40,000",2023-05-17
(선)금태,방어진,15미,S/P,1,"304,000","304,000","304,000",2023-05-17
(활)넙치,영흥도,중,kg,238.4,"7,000","3,500","5,000",2023-05-17
(활)넙치,대부도,중,kg,"1,060.3","13,000",500,"4,500",2023-05-17
(선)농어,중국,중,kg,6.4,"1,000",300,800,2023-05-17
(선)농어,완도,중,kg,70,"130,000","3,500","7,200",2023-05-17
(선)다랑어,후포,2미,S/P,3,"120,000","120,000","120,000",2023-05-17
(활)방게,태안,중,kg,20,"6,000","6,000","6,000",2023-05-17
(활)소라,인천,중,그물망,36,"45,100","22,300","30,100",2023-05-17
(활)수꽃게,진도,대,kg,147,"15,500","14,500","15,000",2023-05-17
(활)암꽃게,태안,소소,kg,45,"12,000","12,000","12,000",2023-05-17
(선)열기,나로도,대,S/P,3,"20,000","20,000","20,000",2023-05-17
(선)은갈치,제주도,9미,S/P,11,"135,000","65,000","122,200",2023-05-17
(선)잡어,통영,중,kg,47.2,"60,000","6,000","19,100",2023-05-17
(선)잡어,목포,대,S/P,6,"6,500",200,"5,500",2023-05-17
(선)전갱이,일본,중,kg,13.3,"2,000","2,000","2,000",2023-05-17
